Província,Distrito,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46
Cabo Delgado,Montepuez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,19,53,52,70,64,61
Cabo Delgado,Chiure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,64
Nampula,Nacala Porto,0,0,0,0,0,0,0,0,0,0,0,0,227,239,267,198,186,100,93,75,96,63,26,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampula,Cidade de Nampula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,39,14,14,12,11,9,35,27,26,27,23,27,22,49,86,133,112,141,172,109,101,127,48,101,87,37,30,28,12,16
Nampula,Memba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,108,97,76,49,22,22,22,17,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampula,Meconta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,13,6,10,5,6,0,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampula,Erati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,26,38,32,21,23,19,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maputo Cidade,KaTembe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maputo Cidade,KaMubukwana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maputo Provincia,Matutuine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
